,n_dataset,model,p,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
18,6,APPLAM,500,4,4,250,0.16017777777777778,0.132,0.05,3,3.0,0.0,0.7136715391229579,"(0.713178307364693, 0.7133328913456539)"
19,6,APPLAM,500,4,4,250,0.1473403420680998,0.12333333333333334,0.1,4,3.82,0.052,0.670669461760529,"(0.6759308031379382, 0.6793799183311074)"
20,6,APPLAM,500,4,4,250,0.1808843793060253,0.118,0.2,5,5.266,0.23,0.6279492244222044,"(0.6241660880380548, 0.6326840079496603)"
21,7,APPLAM,500,4,4,250,0.18785151856017998,0.178,0.05,3,3.0,0.002,0.7123662572805021,"(0.7112445603560551, 0.7119162117653139)"
22,7,APPLAM,500,4,4,250,0.21818181818181817,0.17266666666666666,0.1,3,2.994,0.044,0.7136715391229579,"(0.6382921990267076, 0.666160056562046)"
23,7,APPLAM,500,4,4,250,0.18242840095465393,0.21,0.2,4,4.162,0.194,0.8039222882674433,"(0.795468334565617, 0.8022225198055017)"
24,8,APPLAM,500,4,4,250,0.1810149989726731,0.16066666666666668,0.05,2,2.068,0.002,0.4992481203007519,"(0.49917767788576084, 0.49922358168050374)"
25,8,APPLAM,500,4,4,250,0.17283440148852594,0.18666666666666668,0.1,2,2.204,0.046,0.4992481203007519,"(0.5137654266491118, 0.5239826170623674)"
26,8,APPLAM,500,4,4,250,0.17138735903488067,0.20133333333333334,0.2,4,4.334,0.21,0.70850458664439,"(0.7274872244944693, 0.7425685266319603)"
27,9,APPLAM,500,4,4,250,0.19462853156609697,0.138,0.05,3,3.0,0.0,0.7072355316786678,"(0.6871136472714703, 0.6918567208270081)"
28,9,APPLAM,500,4,4,250,0.18822905620360553,0.07333333333333333,0.1,3,3.0,0.042,0.70850458664439,"(0.6988027818951872, 0.7027133544747202)"
29,9,APPLAM,500,4,4,250,0.1592960288808664,0.122,0.2,4,4.0,0.24,0.7582129489810465,"(0.7837023995976268, 0.7933209888748886)"
30,10,APPLAM,500,4,4,250,0.19825222755311858,0.14266666666666666,0.05,3,3.036,0.004,0.7136715391229579,"(0.7135348251476383, 0.713609519961395)"
31,10,APPLAM,500,4,4,250,0.18841301460823373,0.14,0.1,3,3.224,0.034,0.7136715391229579,"(0.7132260495806795, 0.7134317555917644)"
32,10,APPLAM,500,4,4,250,0.2070807453416149,0.162,0.2,5,5.156,0.224,0.8488282892237836,"(0.758145821793132, 0.7702235495064945)"
33,11,APPLAM,500,4,4,250,0.13367647058823529,0.12666666666666668,0.05,4,4.0,0.002,0.994672057173748,"(0.9960783651814931, 0.9964496461968866)"
34,11,APPLAM,500,4,4,250,0.12720588235294117,0.12133333333333333,0.1,4,4.0,0.028,0.994672057173748,"(0.994939305676054, 0.995096044824787)"
35,11,APPLAM,500,4,4,250,0.1982639991531703,0.148,0.2,6,6.064,0.188,0.8743089227014611,"(0.7424400546624101, 0.7629675965812361)"
36,12,APPLAM,500,4,4,250,0.23661649838064394,0.19733333333333333,0.05,3,2.83,0.004,0.7136715391229579,"(0.5654431635354698, 0.5964146618835826)"
37,12,APPLAM,500,4,4,250,0.18087318087318088,0.152,0.1,5,4.928,0.018,0.7285782349267712,"(0.7152643129585594, 0.7290075590813052)"
38,12,APPLAM,500,4,4,250,0.21082670356278105,0.14466666666666667,0.2,3,3.238,0.266,0.7123662572805021,"(0.7253972871182399, 0.7310688087207333)"
39,13,APPLAM,500,4,4,250,0.20333914776974832,0.15533333333333332,0.05,2,2.0,0.002,0.4992481203007519,"(nan, nan)"
40,13,APPLAM,500,4,4,250,0.2149464459591042,0.14533333333333334,0.1,2,2.188,0.06,0.4992481203007519,"(0.5067496286546467, 0.515189231634402)"
41,13,APPLAM,500,4,4,250,0.2232357177148344,0.11933333333333333,0.2,2,2.17,0.312,0.4992481203007519,"(0.5083383374545656, 0.5153154489655192)"
42,14,APPLAM,500,4,4,250,0.16735872901245713,0.10333333333333333,0.05,3,3.0,0.0,0.7136715391229579,"(0.7136715391229577, 0.7136715391229577)"
43,14,APPLAM,500,4,4,250,0.1675952416804698,0.162,0.1,4,4.0,0.038,0.6298667836851574,"(0.6302143064154709, 0.6307129312764698)"
44,14,APPLAM,500,4,4,250,0.14817688130333592,0.132,0.2,5,5.0,0.196,0.6229267073152982,"(0.6226105706361621, 0.6229209544069129)"
45,15,APPLAM,500,4,4,250,0.19062062529164722,0.172,0.05,2,2.0,0.004,0.33266533066132264,"(0.3326653306613227, 0.3326653306613227)"
46,15,APPLAM,500,4,4,250,0.2170844487709905,0.19066666666666668,0.1,2,2.228,0.04,0.33266533066132264,"(0.3422786378760508, 0.34905148150452564)"
47,15,APPLAM,500,4,4,250,0.25471085120207926,0.16466666666666666,0.2,3,2.69,0.248,0.33266533066132264,"(0.43368498507420017, 0.46537294481073177)"
48,16,APPLAM,500,4,4,250,0.1550561797752809,0.18133333333333335,0.05,3,3.0,0.004,0.7136715391229579,"(0.7136715391229577, 0.7136715391229577)"
49,16,APPLAM,500,4,4,250,0.1918702218907328,0.106,0.1,3,3.0,0.062,0.7136715391229579,"(0.7136423567997823, 0.7136732968460595)"
50,16,APPLAM,500,4,4,250,0.17255035075809005,0.11733333333333333,0.2,6,5.804,0.188,0.896125234185434,"(0.7732823523434748, 0.7937393772088824)"
51,17,APPLAM,500,4,4,250,0.16826038984920927,0.08533333333333333,0.05,3,3.0,0.0,0.7136715391229579,"(0.7136715391229577, 0.7136715391229577)"
52,17,APPLAM,500,4,4,250,0.1661715558856294,0.134,0.1,3,3.0,0.058,0.7136715391229579,"(0.7136715391229577, 0.7136715391229577)"
53,17,APPLAM,500,4,4,250,0.1888223064693653,0.09733333333333333,0.2,5,5.438,0.188,0.5933604842478771,"(0.6173532763071782, 0.6252207104912765)"
54,18,APPLAM,500,4,4,250,0.18164097111465533,0.17733333333333334,0.05,3,3.0,0.002,0.7123662572805021,"(0.6250512308445697, 0.6411591141558008)"
55,18,APPLAM,500,4,4,250,0.14782717910072846,0.14,0.1,5,5.042,0.032,0.9474436845377588,"(0.9140900981856496, 0.9256813700876848)"
56,18,APPLAM,500,4,4,250,0.18001265022137888,0.19533333333333333,0.2,5,4.944,0.226,0.9893869090689918,"(0.8759024709617086, 0.8969545090074823)"
57,19,APPLAM,500,4,4,250,0.2506441789646287,0.154,0.05,2,2.0,0.002,0.31315152778700034,"(0.3238213259634347, 0.32766836020017864)"
58,19,APPLAM,500,4,4,250,0.26531780874212635,0.154,0.1,3,2.914,0.046,0.7136715391229579,"(0.5724619701577284, 0.6022335543306317)"
59,19,APPLAM,500,4,4,250,0.15498062742157231,0.18466666666666667,0.2,5,5.0,0.184,0.7356796863666439,"(0.7322875157760375, 0.7359643050663375)"
