,n_dataset,model,p,d,M,npc,conc_dir,mode_nclus,avg_nclus,ari_best_clus,CI_aris
17,5,Lamb,500,4,4,50,1.0,25,26.0,0.5331484367374277,"(0.529100438088693, 0.5862111116200466)"
18,6,Lamb,500,4,4,50,0.1,28,27.5,0.4420176090046959,"(0.43185515011507747, 0.5351166605243561)"
19,6,Lamb,500,4,4,50,0.5,26,26.625,0.5819348412916971,"(0.5086816985460183, 0.5782240122225224)"
20,6,Lamb,500,4,4,50,1.0,22,26.5,0.5895983120046095,"(0.5184521458634718, 0.6453609952109337)"
21,7,Lamb,500,4,4,50,0.1,22,20.875,0.742564202878728,"(0.6336077026816288, 0.7218471732276052)"
22,7,Lamb,500,4,4,50,0.5,22,23.0,0.6524444344882596,"(0.6273199516620361, 0.6785165688830902)"
23,7,Lamb,500,4,4,50,1.0,24,25.125,0.6542041875145439,"(0.5688946557770473, 0.6780330190768415)"
24,8,Lamb,500,4,4,50,0.1,21,17.5,0.8045242171205585,"(0.641838160451745, 0.7845714812388754)"
25,8,Lamb,500,4,4,50,0.5,22,23.625,0.8536449193869824,"(0.6594777086871235, 0.836488036030071)"
26,8,Lamb,500,4,4,50,1.0,13,13.125,0.782655590753153,"(0.748634384239504, 0.8086267486883629)"
27,9,Lamb,500,4,4,50,0.1,20,22.875,0.7265543427408236,"(0.6839739897112946, 0.751771040668666)"
28,9,Lamb,500,4,4,50,0.5,19,18.625,0.8215055965207869,"(0.7960034081055765, 0.826962401778095)"
29,9,Lamb,500,4,4,50,1.0,21,21.5,0.7566493427086518,"(0.6807121335056622, 0.7530568749304286)"
30,10,Lamb,500,4,4,50,0.1,20,20.375,0.7022077239030254,"(0.6524249135345525, 0.7501458219342249)"
31,10,Lamb,500,4,4,50,0.5,21,20.25,0.7808517472950656,"(0.6704882655919921, 0.7645909044195491)"
32,10,Lamb,500,4,4,50,1.0,24,25.0,0.7235229914615444,"(0.5915980187688864, 0.7119053110877677)"
33,11,Lamb,500,4,4,50,0.1,15,17.75,0.80006982523463,"(0.6758824919674282, 0.7857399682706006)"
34,11,Lamb,500,4,4,50,0.5,19,20.375,0.6542041875145439,"(0.5405531107171037, 0.6303042120809849)"
35,11,Lamb,500,4,4,50,1.0,17,19.5,0.6077060931899642,"(0.5282113990122661, 0.619709027805355)"
36,12,Lamb,500,4,4,50,0.1,20,21.875,0.722509806355993,"(0.5356508347531899, 0.6604002532993227)"
37,12,Lamb,500,4,4,50,0.5,19,20.375,0.7533978680133886,"(0.6558132840401516, 0.7430010968701524)"
38,12,Lamb,500,4,4,50,1.0,19,21.5,0.6955901037650358,"(0.6916379257850943, 0.7736080616731597)"
39,13,Lamb,500,4,4,50,0.1,17,21.125,0.4553474672816694,"(0.44329350496634234, 0.6070625730436917)"
40,13,Lamb,500,4,4,50,0.5,20,19.75,0.6629628272393119,"(0.5104657281166561, 0.649809745245472)"
41,13,Lamb,500,4,4,50,1.0,19,20.875,0.5868967622445345,"(0.5232055108823809, 0.6173854111577769)"
42,14,Lamb,500,4,4,50,0.1,18,21.0,0.6611917241687002,"(0.5018596333238331, 0.6703108736843325)"
43,14,Lamb,500,4,4,50,0.5,22,23.125,0.41470536648395573,"(0.4807806148692871, 0.6000910903373977)"
44,14,Lamb,500,4,4,50,1.0,18,21.75,0.5936119814934695,"(0.47505643983915213, 0.5859666218389239)"
45,15,Lamb,500,4,4,50,0.1,15,16.5,0.6826577446466695,"(0.5722179467805013, 0.72091747767198)"
46,15,Lamb,500,4,4,50,0.5,16,18.25,0.5760822932191915,"(0.5752519704995631, 0.6282965923861197)"
47,15,Lamb,500,4,4,50,1.0,18,16.875,0.7246218167525508,"(0.6492674208435633, 0.7399755427958613)"
48,16,Lamb,500,4,4,50,0.1,22,23.875,0.7062379620126812,"(0.5583611741720088, 0.670673713871775)"
49,16,Lamb,500,4,4,50,0.5,30,27.625,0.6199568762868213,"(0.5611360660065088, 0.6104515821202645)"
50,16,Lamb,500,4,4,50,1.0,17,23.875,0.6819479715473348,"(0.5615256988870171, 0.6951869839128378)"
51,17,Lamb,500,4,4,50,0.1,19,19.75,0.5031649046950984,"(0.5267400195380041, 0.5813794825110816)"
52,17,Lamb,500,4,4,50,0.5,23,23.125,0.4322510928655495,"(0.4366464314629778, 0.47257714845569393)"
53,17,Lamb,500,4,4,50,1.0,22,23.375,0.6336333962072354,"(0.4641345357849389, 0.6100997824898908)"
54,18,Lamb,500,4,4,50,0.1,27,27.875,0.6386908191876692,"(0.5879501863379908, 0.6466621868566513)"
55,18,Lamb,500,4,4,50,0.5,21,23.625,0.5442821891234024,"(0.4746647137994582, 0.583235988239694)"
56,18,Lamb,500,4,4,50,1.0,22,24.875,0.5175451507845874,"(0.4952621998422728, 0.5661283193030004)"
57,19,Lamb,500,4,4,50,0.1,23,21.75,0.5944376365718733,"(0.5596311787100309, 0.5846498968300667)"
58,19,Lamb,500,4,4,50,0.5,16,17.875,0.8231145206356879,"(0.6239631198179596, 0.7802377201801622)"
59,19,Lamb,500,4,4,50,1.0,20,20.5,0.6217687163086982,"(0.5983755703644648, 0.6271943579274099)"
