,n_dataset,model,p,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
16,5,APPLAM,500,4,4,50,0.11293728766871729,0.087,1.0,4,4.0624,1.0288,1.0,"(0.8157648031633942, 0.8296209098630007)"
17,5,APPLAM,500,4,4,50,0.12125140648696248,0.061714285714285715,5.0,5,5.8936,4.7992,0.913956851694473,"(0.8576411763028079, 0.864283070463309)"
18,6,APPLAM,500,4,4,50,0.10873021882335125,0.054142857142857145,0.5,3,3.2836,0.6648,0.7111756168359942,"(0.7193364450418331, 0.7333251378164569)"
19,6,APPLAM,500,4,4,50,0.1024796195652174,0.07128571428571429,1.0,4,3.7876,1.05,1.0,"(0.7834610599044821, 0.7938277636143253)"
20,6,APPLAM,500,4,4,50,0.10838305781081874,0.05357142857142857,5.0,6,5.5392,4.6312,1.0,"(0.8502138729099902, 0.8576520585740222)"
21,7,APPLAM,500,4,4,50,0.0913486624691272,0.054,0.5,4,3.9,0.658,0.625378131410156,"(0.6402996170677497, 0.6423338895252013)"
22,7,APPLAM,500,4,4,50,0.10401057734684883,0.038857142857142854,1.0,4,3.586,1.1156,0.7111756168359942,"(0.6731421750301119, 0.6759490473144443)"
23,7,APPLAM,500,4,4,50,0.10344727861646133,0.06271428571428571,5.0,5,4.6924,4.7884,0.9747722224365722,"(0.805152893203299, 0.8161538684135181)"
24,8,APPLAM,500,4,4,50,0.10422033641460828,0.07942857142857143,0.5,3,3.4388,0.648,1.0,"(0.7839768647621015, 0.7971993102675001)"
25,8,APPLAM,500,4,4,50,0.0965814696485623,0.08214285714285714,1.0,5,4.1732,1.068,1.0,"(0.815430859521082, 0.8291484642319344)"
26,8,APPLAM,500,4,4,50,0.10065827132226675,0.08071428571428571,5.0,5,4.6688,4.8464,1.0,"(0.8859658105441665, 0.8948773344493154)"
27,9,APPLAM,500,4,4,50,0.1061771650544596,0.051571428571428574,0.5,4,3.6576,0.66,0.7111756168359942,"(0.6724822788408696, 0.6778366769655845)"
28,9,APPLAM,500,4,4,50,0.10899964144854786,0.047,1.0,3,3.39,1.1068,0.7111756168359942,"(0.7241392680019606, 0.7354653553527838)"
29,9,APPLAM,500,4,4,50,0.10429835651074588,0.061285714285714284,5.0,5,5.6284,4.7164,1.0,"(0.8710334718127295, 0.8772060544903968)"
30,10,APPLAM,500,4,4,50,0.0994095252894103,0.07428571428571429,0.5,4,3.4716,0.6848,1.0,"(0.7508068540231805, 0.7652802521506346)"
31,10,APPLAM,500,4,4,50,0.10265464795712914,0.08042857142857143,1.0,4,4.194,1.1284,1.0,"(0.7945581608819328, 0.8075948624516571)"
32,10,APPLAM,500,4,4,50,0.09638251549154246,0.05757142857142857,5.0,4,4.9336,4.9776,1.0,"(0.8985308111960497, 0.9075416012492326)"
33,11,APPLAM,500,4,4,50,0.10362579980878135,0.07142857142857142,0.5,3,3.7704,0.6248,0.7111756168359942,"(0.760913304873588, 0.7723472562839181)"
34,11,APPLAM,500,4,4,50,0.09345168903448518,0.049,1.0,4,3.6976,1.046,1.0,"(0.8460957218062207, 0.8572128338725228)"
35,11,APPLAM,500,4,4,50,0.0943952802359882,0.07071428571428572,5.0,5,4.7108,4.8652,1.0,"(0.9507708324336395, 0.9551046454399872)"
36,12,APPLAM,500,4,4,50,0.10319486613303892,0.05,0.5,4,3.9236,0.66,1.0,"(0.8278386916648353, 0.8387217462452554)"
37,12,APPLAM,500,4,4,50,0.09903414045207592,0.04814285714285714,1.0,4,4.0124,1.0368,1.0,"(0.8065080256248817, 0.8176597677674738)"
38,12,APPLAM,500,4,4,50,0.09942229328931758,0.04042857142857143,5.0,5,5.2752,4.7472,0.9869177924596523,"(0.9390003638943696, 0.9425548612964483)"
39,13,APPLAM,500,4,4,50,0.10377931243833953,0.06085714285714286,0.5,4,3.5652,0.634,0.7111756168359942,"(0.6982225440070979, 0.7080212927452598)"
40,13,APPLAM,500,4,4,50,0.10823643773133436,0.07828571428571429,1.0,3,3.7368,1.0304,0.7111756168359942,"(0.7270543378209707, 0.7352629998151551)"
41,13,APPLAM,500,4,4,50,0.10147422791348326,0.05657142857142857,5.0,5,5.0608,4.8936,0.9869177924596523,"(0.8784350896439648, 0.8868855924645771)"
42,14,APPLAM,500,4,4,50,0.10034539828740016,0.060571428571428575,0.5,3,3.6316,0.6808,0.7111756168359942,"(0.7993166035587437, 0.8095973159825659)"
43,14,APPLAM,500,4,4,50,0.1105274921770228,0.04928571428571429,1.0,4,3.604,1.11,0.7111756168359942,"(0.7952152968011641, 0.8061885676035283)"
44,14,APPLAM,500,4,4,50,0.10909819639278558,0.06314285714285714,5.0,6,5.5652,4.9932,0.9362727747720416,"(0.7993955475863547, 0.8081116673042473)"
45,15,APPLAM,500,4,4,50,0.10762605418984389,0.06771428571428571,0.5,4,3.8488,0.6588,1.0,"(0.8361885194460423, 0.849286743335552)"
46,15,APPLAM,500,4,4,50,0.10702664389961017,0.04442857142857143,1.0,5,4.2788,1.1356,1.0,"(0.8540635296786171, 0.8640237694233274)"
47,15,APPLAM,500,4,4,50,0.09450466347365767,0.041,5.0,5,5.4196,4.7204,1.0,"(0.925115154207484, 0.9286647897292157)"
48,16,APPLAM,500,4,4,50,0.11046412784767086,0.07471428571428572,0.5,3,3.2148,0.6672,0.4962025316455696,"(0.6991728884306769, 0.7116415775398439)"
49,16,APPLAM,500,4,4,50,0.11033716191181919,0.07871428571428571,1.0,3,3.7528,1.082,1.0,"(0.7894346219296916, 0.8019517368392411)"
50,16,APPLAM,500,4,4,50,0.09574996730744083,0.08057142857142857,5.0,5,5.2116,4.9108,1.0,"(0.9243537821945034, 0.9294106841305949)"
51,17,APPLAM,500,4,4,50,0.11031723349528437,0.06828571428571428,0.5,4,3.7032,0.5756,0.7111756168359942,"(0.6460513198528232, 0.650469799194742)"
52,17,APPLAM,500,4,4,50,0.10767522993973994,0.056285714285714286,1.0,4,4.2848,1.1164,0.6809724816519833,"(0.7264254637178794, 0.7362084500759142)"
53,17,APPLAM,500,4,4,50,0.11378665699377773,0.081,5.0,4,4.8892,4.8212,1.0,"(0.7891519661456209, 0.8018655650286522)"
54,18,APPLAM,500,4,4,50,0.1010586757581195,0.05442857142857143,0.5,4,3.4244,0.6784,0.7111756168359942,"(0.7179878209905383, 0.730735134154401)"
55,18,APPLAM,500,4,4,50,0.11180832857957787,0.05614285714285714,1.0,4,3.6032,1.0544,1.0,"(0.7968396325597338, 0.8119290488536008)"
56,18,APPLAM,500,4,4,50,0.0991657854541182,0.06528571428571428,5.0,4,4.532,4.7344,1.0,"(0.9174805535190547, 0.9254703898837724)"
57,19,APPLAM,500,4,4,50,0.10385495511353635,0.05171428571428571,0.5,4,3.8008,0.6236,0.7111756168359942,"(0.6824969506263788, 0.690556407310967)"
58,19,APPLAM,500,4,4,50,0.11181418319314762,0.03857142857142857,1.0,3,3.2696,1.1516,0.7111756168359942,"(0.7279668482249134, 0.7349756537947411)"
59,19,APPLAM,500,4,4,50,0.0990263043162331,0.051,5.0,5,4.79,4.7476,1.0,"(0.8675186831980535, 0.8769044160375814)"
