,model,p,dtrue,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ri_best_clus,CI_ris,ari_best_clus,CI_aris,ranges
13,Isotropic,100,2,2,2,500,0.20545495910676576,0.19222857142857142,0.1,10,10.0,0.0006,0.5915155155155155,"(0.5922623091879323, 0.5923144699912467)",0.18238798556076233,"(0.18388191501968593, 0.18398636469688873)",-10.0
14,APPLAM,100,2,2,2,500,0.1234375,0.18054285714285714,0.1,2,2.0,0.0,0.9455135135135135,"(0.9439885388934203, 0.9440912761215946)",0.8910269248239246,"(0.8879769729475824, 0.8881824475154785)",-10.0
15,Isotropic,100,2,2,2,500,0.19924833100836986,0.15914285714285714,0.1,9,9.0,0.0032,0.6062062062062062,"(0.6066029873922204, 0.6066625365317037)",0.21180767522137664,"(0.2126025395558928, 0.21272178188937402)",-10.0
16,APPLAM,100,2,2,2,500,0.123325,0.16308571428571428,0.1,2,2.0,0.0,0.937985985985986,"(0.938940855647245, 0.9390483367451475)",0.8759718556490994,"(0.8778815986714166, 0.8780965610785163)",-10.0
17,Isotropic,100,2,2,2,500,0.19572341828041243,0.14214285714285715,0.1,9,9.3288,0.0012,0.6024824824824825,"(0.5988949977878123, 0.5991725409509264)",0.20435483488749887,"(0.19716820890950787, 0.1977241704117743)",-10.0
18,APPLAM,100,2,2,2,500,0.12575,0.20102857142857142,0.1,2,2.0,0.0,0.9268148148148149,"(0.9228156905322785, 0.9229899262845384)",0.8536295205118665,"(0.8456312825409761, 0.8459797536874375)",-10.0
19,Isotropic,100,2,2,2,500,0.19584205654504905,0.1938,0.1,9,9.0,0.001,0.5962222222222222,"(0.596005175822641, 0.5961143869401218)",0.19181778479365838,"(0.19138390295388744, 0.1916025612876636)",-10.0
20,APPLAM,100,2,2,2,500,0.1219375,0.113,0.1,2,2.0,0.0,0.9121441441441441,"(0.9122177838004369, 0.9123574330163798)",0.8242881572968254,"(0.8244354286373082, 0.8247147271774274)",-10.0
21,Isotropic,100,2,2,2,500,0.2051922514814126,0.11368571428571428,0.1,10,10.0,0.0012,0.5879079079079079,"(0.588237578319245, 0.5882978915506248)",0.17516476194805206,"(0.17582445977197225, 0.17594524482138335)",-10.0
22,APPLAM,100,2,2,2,500,0.12425,0.24414285714285713,0.1,2,2.0,0.0,0.9531051051051052,"(0.9532034240506398, 0.9532933030764873)",0.906210116232465,"(0.9064067547132103, 0.9065865129450109)",-10.0
23,Isotropic,100,2,2,2,500,0.20189214175654854,0.20811428571428572,0.1,10,9.7586,0.003,0.598096096096096,"(0.6001513944710142, 0.6003733646881448)",0.1955586315711602,"(0.19967703271284684, 0.20012174302037464)",-10.0
24,APPLAM,100,2,2,2,500,0.1247,0.10748571428571428,0.1,2,2.0,0.0,0.9493013013013013,"(0.9493778721535843, 0.9495155316502196)",0.898602501002004,"(0.8987556442709682, 0.8990309635222716)",-10.0
25,Isotropic,100,2,2,2,500,0.19965567831372197,0.10237142857142857,0.1,10,10.0,0.0002,0.5937517517517518,"(0.5940833803232064, 0.5941541411983151)",0.18686141146031587,"(0.1875250954019744, 0.18766680987695647)",-10.0
26,APPLAM,100,2,2,2,500,0.123025,0.25857142857142856,0.1,2,2.0,0.0,0.9342462462462462,"(0.9330701393346792, 0.9332158242288844)",0.8684923607214429,"(0.8661401469695473, 0.866431517032122)",-10.0
27,Isotropic,100,2,2,2,500,0.19627305927521305,0.22057142857142858,0.1,9,9.0,0.001,0.5999719719719719,"(0.600211411474112, 0.6002585024398018)",0.19932647926354824,"(0.19980598546616443, 0.19990027466346735)",-10.0
28,APPLAM,100,2,2,2,500,0.1235125,0.2412,0.1,2,2.0,0.0,0.9743123123123123,"(0.9729519614444977, 0.9730710775945413)",0.9486245782941304,"(0.9459038729627525, 0.9461421055323784)",-10.0
29,Isotropic,100,2,2,2,500,0.2115444732017382,0.20948571428571428,0.1,11,10.799,0.0012,0.5886806806806807,"(0.5910220339281665, 0.5912707028085701)",0.17669263185909448,"(0.18138307281866564, 0.18188122899701734)",-10.0
30,APPLAM,100,2,2,2,500,0.1241375,0.26848571428571427,0.1,2,2.0,0.0,0.9493013013013013,"(0.9507395110269158, 0.9508595800641751)",0.8986025075044484,"(0.9014789278028958, 0.9017190660962897)",-10.0
31,Isotropic,100,2,2,2,500,0.21149020646598252,0.19977142857142857,0.1,10,10.0,0.0006,0.5957597597597598,"(0.5958966128134717, 0.5959504398391808)",0.19088194161428348,"(0.19115732872680824, 0.19126511811308694)",-10.0
32,APPLAM,100,2,2,2,500,0.1248375,0.17991428571428572,0.1,2,2.0,0.0,0.9212832832832832,"(0.9225953453994582, 0.9226950225685098)",0.8425664094486316,"(0.8451905372326303, 0.8453898917921447)",-10.0
33,Isotropic,100,2,2,2,500,0.2228162684168159,0.15934285714285715,0.1,11,11.0,0.0012,0.5890730730730731,"(0.5875197031307193, 0.5875988129853968)",0.17749036762042733,"(0.17437836324711958, 0.1745368202930312)",-10.0
34,APPLAM,100,2,2,2,500,0.1239625,0.23214285714285715,0.1,2,2.0,0.0,0.9512012012012012,"(0.9499851046255977, 0.9500919548338617)",0.9024023081297765,"(0.8999701140179945, 0.9001838146153394)",-10.0
35,Isotropic,100,2,2,2,500,0.22031390992863198,0.23568571428571428,0.1,12,12.0,0.0,0.5820980980980981,"(0.5817711705707987, 0.581845269068841)",0.16350938276862026,"(0.16285429137533883, 0.16300271215019832)",-10.0
36,APPLAM,100,2,2,2,500,0.121925,0.1412857142857143,0.1,2,2.0,0.0,0.9493013013013013,"(0.947816470655908, 0.9478976987134611)",0.8986025026276152,"(0.8956328387359512, 0.895795294984452)",-10.0
37,Isotropic,100,2,2,2,500,0.21642556384708383,0.14857142857142858,0.1,11,11.0,0.0,0.5907607607607608,"(0.5898618429662982, 0.5899304517283964)",0.18086532471737637,"(0.17906502132453248, 0.1792024428808762)",-10.0
38,APPLAM,100,2,2,2,500,0.122825,0.24777142857142856,0.1,2,2.0,0.0,0.9607607607607608,"(0.9609904617869239, 0.9610773171920554)",0.9215214743400905,"(0.9219808791588722, 0.9221545899506183)",-10.0
39,Isotropic,100,2,2,2,500,0.2037144651651493,0.20254285714285714,0.1,10,10.0,0.0006,0.5939339339339339,"(0.5923834316031842, 0.5924404314598788)",0.18722311329559665,"(0.18411807256819537, 0.18423221432433992)",-10.0
