,n_dataset,model,p,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
22,7,APPLAM,500,8,4,50,0.145961899651194,0.033916666666666664,1.0,4,3.942,1.5604,0.7111756168359942,"(0.7145046966787537, 0.717580754591065)"
23,7,APPLAM,500,8,4,50,0.1486391365556077,0.03133333333333333,5.0,4,4.1322,5.4158,0.7111756168359942,"(0.7142207837230017, 0.7171937767594776)"
24,8,APPLAM,500,8,4,50,0.17253206084103787,0.04975,0.5,3,2.686,1.0948,0.32996632996632996,"(0.509145174936556, 0.5178412883155293)"
25,8,APPLAM,500,8,4,50,0.22818604910403256,0.058333333333333334,1.0,2,2.7094,1.579,0.32996632996632996,"(0.3704694482818747, 0.3750410141909816)"
26,8,APPLAM,500,8,4,50,0.13783607722373564,0.051666666666666666,5.0,2,2.6152,5.636,0.32996632996632996,"(0.44192704022193435, 0.45049390143579576)"
27,9,APPLAM,500,8,4,50,0.1483161709992559,0.04633333333333333,0.5,3,3.3402,1.0158,0.7111756168359942,"(0.7451895501022632, 0.749446511302365)"
28,9,APPLAM,500,8,4,50,0.14290322580645162,0.04766666666666667,1.0,3,3.6984,1.618,0.7111756168359942,"(0.7305068180974433, 0.7346608738883161)"
29,9,APPLAM,500,8,4,50,0.1189103718826308,0.04925,5.0,4,3.9778,5.3398,0.9606304672824764,"(0.8329915335199118, 0.838261020859667)"
30,10,APPLAM,500,8,4,50,0.1447143066860228,0.035083333333333334,0.5,5,5.0484,1.0578,0.6303626374088926,"(0.6617610457890927, 0.66578836533107)"
31,10,APPLAM,500,8,4,50,0.13973006917724926,0.04041666666666666,1.0,4,4.082,1.5548,0.7566245413779046,"(0.7442677451195664, 0.7488856962840132)"
32,10,APPLAM,500,8,4,50,0.1374183713796413,0.035583333333333335,5.0,5,4.3382,5.5374,0.7111756168359942,"(0.7296888781533063, 0.7335548345155546)"
33,11,APPLAM,500,8,4,50,0.2451783083827207,0.03808333333333333,0.5,2,2.136,1.0694,0.4962025316455696,"(0.508492189250674, 0.5116512861517775)"
34,11,APPLAM,500,8,4,50,0.2345738626565033,0.03258333333333333,1.0,2,2.2202,1.6238,0.4962025316455696,"(0.5244992530566618, 0.5285342340798297)"
35,11,APPLAM,500,8,4,50,0.2128917969084831,0.03933333333333333,5.0,2,2.594,5.404,0.4962025316455696,"(0.5324166774147429, 0.5370017805370891)"
36,12,APPLAM,500,8,4,50,0.12792897318838753,0.0405,0.5,3,3.087,1.0946,0.7111756168359942,"(0.7116847006192148, 0.7121940649175253)"
37,12,APPLAM,500,8,4,50,0.12466234126883946,0.03841666666666667,1.0,3,3.1,1.5744,0.7111756168359942,"(0.7114339892838247, 0.7119652845358947)"
38,12,APPLAM,500,8,4,50,0.12315411870859834,0.04158333333333333,5.0,3,3.6146,5.6438,0.7111756168359942,"(0.7389027686005218, 0.7427225647583089)"
39,13,APPLAM,500,8,4,50,0.06117389298892989,0.0475,0.5,3,2.66,1.1282,0.7111756168359942,"(0.5562113065962613, 0.5649946498398941)"
40,13,APPLAM,500,8,4,50,0.05898036155546885,0.052333333333333336,1.0,2,2.3516,1.5824,0.32996632996632996,"(0.4519985317550327, 0.4606313163156186)"
41,13,APPLAM,500,8,4,50,0.058226381733378046,0.049166666666666664,5.0,2,2.4168,5.698,0.32285006216352496,"(0.4704591563987953, 0.4792071132739122)"
42,14,APPLAM,500,8,4,50,0.2313463810223173,0.04725,0.5,2,2.3726,1.0474,0.4962025316455696,"(0.5265707424285324, 0.5310542415294544)"
43,14,APPLAM,500,8,4,50,0.23855760129461695,0.058083333333333334,1.0,2,2.6358,1.6022,0.4962025316455696,"(0.49559484494434625, 0.49708570084804027)"
44,14,APPLAM,500,8,4,50,0.14692757427514616,0.042166666666666665,5.0,3,3.3388,5.5704,0.7111756168359942,"(0.7248920660686587, 0.7281217934269691)"
45,15,APPLAM,500,8,4,50,0.13305872973691205,0.038,0.5,3,3.0604,0.9946,0.7111756168359942,"(0.6937408941263419, 0.7002989217339337)"
46,15,APPLAM,500,8,4,50,0.1651953893730672,0.027083333333333334,1.0,3,2.76,1.5984,0.7111756168359942,"(0.5915992331323803, 0.6008090508006325)"
47,15,APPLAM,500,8,4,50,0.06593777593102373,0.029333333333333333,5.0,3,3.0,5.414,0.7111756168359942,"(0.7111756168359943, 0.7111756168359943)"
48,16,APPLAM,500,8,4,50,0.19504210651168308,0.03916666666666667,0.5,3,3.1484,1.0306,0.4962025316455696,"(0.5954068843881652, 0.6018871220127879)"
49,16,APPLAM,500,8,4,50,0.1488894443650907,0.044,1.0,5,4.778,1.532,0.7111756168359942,"(0.7356794944693466, 0.7413096087445536)"
50,16,APPLAM,500,8,4,50,0.15729922105828634,0.03925,5.0,5,4.7356,5.4136,0.6972119128006604,"(0.7492341092945363, 0.7534673283527396)"
51,17,APPLAM,500,8,4,50,0.0800397081909687,0.042333333333333334,0.5,3,3.4296,1.1082,0.7111756168359942,"(0.6888070245249285, 0.6909771316856832)"
52,17,APPLAM,500,8,4,50,0.08276282472099784,0.03958333333333333,1.0,3,3.4852,1.5612,0.7111756168359942,"(0.7128476855897936, 0.7151391247224048)"
53,17,APPLAM,500,8,4,50,0.07983431586545899,0.045083333333333336,5.0,5,4.947,5.4074,0.6265193183816744,"(0.6513475890338472, 0.6543259410465911)"
54,18,APPLAM,500,8,4,50,0.16809203386151508,0.04025,0.5,4,3.9044,1.069,0.7111756168359942,"(0.6679941533517573, 0.6744740040170789)"
55,18,APPLAM,500,8,4,50,0.1648841179818278,0.04708333333333333,1.0,4,3.99,1.536,0.7111756168359942,"(0.6797663421438237, 0.6853414136210861)"
56,18,APPLAM,500,8,4,50,0.15118688935718141,0.035583333333333335,5.0,4,4.6186,5.5206,0.7072811963716598,"(0.7255052615195963, 0.7304111599995302)"
57,19,APPLAM,500,8,4,50,0.12350494019760791,0.05775,0.5,3,3.0,1.097,0.7111756168359942,"(0.7111756168359943, 0.7111756168359943)"
58,19,APPLAM,500,8,4,50,0.11972204674668352,0.05825,1.0,3,3.1464,1.6234,0.7111756168359942,"(0.7049293797879219, 0.705777323815465)"
59,19,APPLAM,500,8,4,50,0.10655609041439933,0.04008333333333333,5.0,3,3.0042,5.3918,0.7111756168359942,"(0.7109462927789982, 0.7111002706632177)"
