,model,p,dtrue,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris,ranges
43,Isotropic,15,4,3,4,50,0.251398102655829,0.1105,10,5,5.684375,0.870625,0.9210104582127855,"(0.8597929835715782, 0.8674598151213534)",-10.0
44,APPLAM,15,4,4,4,50,0.10954944019421507,0.1205,10,4,4.004375,0.746875,1.0,"(0.9999493572097296, 0.9999924050565667)",-10.0
45,Isotropic,15,4,4,4,50,0.10552965761131651,0.15257142857142858,10,4,4.0,0.73125,1.0,"(nan, nan)",-10.0
46,APPLAM,15,4,5,4,50,0.0750576449073706,0.08064285714285714,10,4,4.0,0.75375,1.0,"(nan, nan)",-10.0
47,Isotropic,15,4,5,4,50,0.07512693587152021,0.09142857142857143,10,4,4.0,0.7625,1.0,"(nan, nan)",-10.0
48,APPLAM,15,4,3,4,50,0.18256229915721822,0.20164285714285715,10,4,4.434375,0.755625,1.0,"(0.9618721079522174, 0.965968712563702)",-10.0
49,Isotropic,15,4,3,4,50,0.18934096368950162,0.1372857142857143,10,4,4.260625,0.813125,1.0,"(0.9809972261134203, 0.9841893411630271)",-10.0
50,APPLAM,15,4,4,4,50,0.10806513779148198,0.10192857142857142,10,4,4.0,0.7475,1.0,"(nan, nan)",-10.0
51,Isotropic,15,4,4,4,50,0.10420219440779947,0.129,10,4,4.0,0.78125,1.0,"(nan, nan)",-10.0
52,APPLAM,15,4,5,4,50,0.07515855896461801,0.07535714285714286,10,4,4.0,0.75125,1.0,"(nan, nan)",-10.0
53,Isotropic,15,4,5,4,50,0.0670606372045221,0.11285714285714285,10,4,4.0,0.74375,1.0,"(nan, nan)",-10.0
54,APPLAM,15,4,3,4,50,0.17776507573592454,0.08492857142857142,10,4,4.025,0.74,1.0,"(0.99943113397828, 0.999726688087081)",-10.0
55,Isotropic,15,4,3,4,50,0.16639576760047167,0.1437142857142857,10,4,4.010625,0.780625,1.0,"(0.9998247564863271, 0.9999469147876857)",-10.0
56,APPLAM,15,4,4,4,50,0.1209275857163181,0.10571428571428572,10,4,4.0,0.7575,1.0,"(nan, nan)",-10.0
57,Isotropic,15,4,4,4,50,0.1144041744833131,0.15,10,4,4.0,0.7825,1.0,"(nan, nan)",-10.0
58,APPLAM,15,4,5,4,50,0.07355703416000764,0.13207142857142856,10,4,4.0,0.7675,1.0,"(nan, nan)",-10.0
59,Isotropic,15,4,5,4,50,0.06922965280353485,0.13078571428571428,10,4,4.0,0.79875,1.0,"(nan, nan)",-10.0
