,model,p,dtrue,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
33,Isotropic,200,2,5,4,50,0.014127506734510626,0.0361,10,5,5.10375,0.78875,0.8999767143360178,"(0.8974180560111826, 0.8993824263919803)"
34,APPLAM,200,2,5,4,50,0.01512053837635233,0.0433,20,4,4.38875,1.07375,1.0,"(0.9723376762652198, 0.9771591312826104)"
35,Isotropic,200,2,5,4,50,0.012780156131956686,0.0336,20,4,4.5125,1.07,1.0,"(0.9568352166558766, 0.9626038475870012)"
36,APPLAM,400,2,2,4,50,0.12538929259973305,0.1423,5,4,3.94625,0.64125,0.6493767314264886,"(0.5969180243808346, 0.6111691491677181)"
37,Isotropic,400,2,2,4,50,0.1846403437616469,0.2051,5,4,4.37625,0.64625,0.47162535158570484,"(0.501266384549252, 0.5099548192116141)"
38,APPLAM,400,2,2,4,50,0.15287094713304583,0.1369,10,5,4.9075,0.845,0.4717236243813822,"(0.5333867893332637, 0.5462759907341622)"
39,Isotropic,400,2,2,4,50,0.1347953114674272,0.0807,10,6,5.71,0.8125,0.6714229217315254,"(0.651785856566957, 0.6575954536828479)"
40,APPLAM,400,2,2,4,50,0.13662334752408695,0.2432,20,5,5.28375,1.07375,0.8627358896033511,"(0.726669385136144, 0.7418994632628896)"
41,Isotropic,400,2,2,4,50,0.18527586500042506,0.2813,20,6,5.86375,1.23875,0.515527003033287,"(0.5089303778602153, 0.5115707966112316)"
42,APPLAM,400,2,4,4,50,0.03638352015815264,0.0493,5,5,4.8475,0.655,0.7294398252230644,"(0.7059324398622572, 0.7129020718898739)"
43,Isotropic,400,2,4,4,50,0.04911336169571929,0.1124,5,5,5.27125,0.59875,0.8238616406985403,"(0.8342465116019708, 0.839483927150128)"
44,APPLAM,400,2,4,4,50,0.03487074576901618,0.0542,10,4,4.135,0.8,0.5147556940926155,"(0.5156609631691429, 0.5187994573687418)"
45,Isotropic,400,2,4,4,50,0.030172852576501007,0.0489,10,5,4.78875,0.74125,0.7809924973324469,"(0.8062891913965201, 0.8099128223653621)"
46,APPLAM,400,2,4,4,50,0.03245688038995126,0.0675,20,4,4.08875,1.05125,0.5245869002588095,"(0.5221167073488808, 0.5252444699874781)"
47,Isotropic,400,2,4,4,50,0.06268717796089956,0.0546,20,6,5.5575,1.2025,0.819496147640784,"(0.8118484980822545, 0.8207367771694023)"
48,APPLAM,400,2,5,4,50,0.01715318139271643,0.0632,5,4,4.4425,0.6375,0.8136826124787618,"(0.80150829539774, 0.8080017313399043)"
49,Isotropic,400,2,5,4,50,0.01865655471289274,0.061,5,4,4.41,0.6025,0.7208499789318726,"(0.7173726494345091, 0.7226895844749389)"
50,APPLAM,400,2,5,4,50,0.015323955669224211,0.0967,10,5,4.83375,0.74375,0.9234970206126119,"(0.9329782437906159, 0.9371063527803453)"
51,Isotropic,400,2,5,4,50,0.019052779885119758,0.0688,10,4,4.52,0.7925,1.0,"(0.9670689407022454, 0.9723348601820104)"
52,APPLAM,400,2,5,4,50,0.019611463269534536,0.0685,20,5,4.83625,1.13875,0.80421397066139,"(0.8125213118810646, 0.8169464341349753)"
53,Isotropic,400,2,5,4,50,0.017674305216967334,0.0408,20,5,4.93,1.1,0.9070777677156441,"(0.908468226570829, 0.913311205782559)"
