,n_dataset,model,p,d,M,npc,conc_dir,mode_nclus,avg_nclus,ari_best_clus,CI_aris
29,9,Lamb,1000,4,4,50,1.0,28,28.375,0.6177897687376929,"(0.4904485401817841, 0.6246039902209924)"
30,10,Lamb,1000,4,4,50,0.1,25,24.5,0.49302302580534046,"(0.43933345105143234, 0.5546814991379457)"
31,10,Lamb,1000,4,4,50,0.5,25,27.375,0.45799143000884757,"(0.4285464294207175, 0.4913026587227244)"
32,10,Lamb,1000,4,4,50,1.0,25,27.375,0.45799143000884757,"(0.4285464294207175, 0.4913026587227244)"
33,11,Lamb,1000,4,4,50,0.1,22,22.25,0.6058904107352483,"(0.5504529173627303, 0.6032505193923409)"
34,11,Lamb,1000,4,4,50,0.5,23,24.375,0.5836542209250297,"(0.5616486098471078, 0.6691758756382451)"
35,11,Lamb,1000,4,4,50,1.0,16,21.75,0.6699446561523408,"(0.6276885473366365, 0.7438497788098422)"
36,12,Lamb,1000,4,4,50,0.1,27,25.5,0.5467425557160286,"(0.5364389966761045, 0.5635911941177756)"
37,12,Lamb,1000,4,4,50,0.5,21,23.875,0.6521446819954283,"(0.5119734459246451, 0.6449395613796832)"
38,12,Lamb,1000,4,4,50,1.0,19,24.625,0.6303921228048773,"(0.5183873216271881, 0.6361644518025091)"
39,13,Lamb,1000,4,4,50,0.1,19,21.625,0.884811929174844,"(0.6866070688690641, 0.8630364754225791)"
40,13,Lamb,1000,4,4,50,0.5,21,20.25,0.7627839480014268,"(0.7376305907458801, 0.7850030521049435)"
41,13,Lamb,1000,4,4,50,1.0,21,20.375,0.7539118936258785,"(0.729085320971094, 0.7634323747576023)"
42,14,Lamb,1000,4,4,50,0.1,21,22.75,0.6798774777157086,"(0.5772678256012042, 0.7336933746560986)"
43,14,Lamb,1000,4,4,50,0.5,26,28.125,0.533100028181692,"(0.42846283633609145, 0.5520555818731872)"
44,14,Lamb,1000,4,4,50,1.0,27,27.125,0.47143819610204424,"(0.42533718242629226, 0.5413500874465379)"
45,15,Lamb,1000,4,4,50,0.1,26,24.5,0.7053664061756497,"(0.5264900403427321, 0.6825091252879479)"
46,15,Lamb,1000,4,4,50,0.5,22,22.75,0.5224115697478878,"(0.4916340933791137, 0.520856053962905)"
47,15,Lamb,1000,4,4,50,1.0,22,22.5,0.5224115697478878,"(0.4882930738432546, 0.5791326126523556)"
48,16,Lamb,1000,4,4,50,0.1,26,22.375,0.622022943369551,"(0.4855118882118822, 0.6471996556307881)"
49,16,Lamb,1000,4,4,50,0.5,22,22.0,0.7079246473851,"(0.6484042675970073, 0.7086720316274443)"
50,16,Lamb,1000,4,4,50,1.0,24,26.125,0.5120041000785736,"(0.44661542238598806, 0.550345272639084)"
51,17,Lamb,1000,4,4,50,0.1,23,22.625,0.47274382689172284,"(0.494217275875654, 0.5718445853586329)"
52,17,Lamb,1000,4,4,50,0.5,26,25.0,0.5532792015421719,"(0.4783112087629118, 0.5613398030606163)"
53,17,Lamb,1000,4,4,50,1.0,22,23.25,0.7072104839988842,"(0.4742160826741606, 0.6549618119940117)"
54,18,Lamb,1000,4,4,50,0.1,26,24.625,0.7053373048447749,"(0.5391456047977982, 0.6609627131044086)"
55,18,Lamb,1000,4,4,50,0.5,20,23.125,0.7450938956891515,"(0.6819136937446082, 0.7397217826789173)"
56,18,Lamb,1000,4,4,50,1.0,22,21.0,0.6979330340368083,"(0.6831671072636502, 0.728622644900638)"
57,19,Lamb,1000,4,4,50,0.1,20,20.125,0.7936150065383054,"(0.6222631796195167, 0.7394585624152158)"
58,19,Lamb,1000,4,4,50,0.5,21,24.125,0.6502692233135695,"(0.5850739184011268, 0.6689898567130074)"
59,19,Lamb,1000,4,4,50,1.0,21,23.125,0.703905649838614,"(0.5559972716577122, 0.7003818729108258)"
