,n_dataset,model,p,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
39,13,APPLAM,1000,8,4,50,0.05384887899185181,0.017916666666666668,0.5,3,3.121,1.0664,0.7111756168359942,"(0.7076908370736575, 0.7090360220128119)"
40,13,APPLAM,1000,8,4,50,0.05871732632550302,0.019333333333333334,1.0,4,3.9856,1.6092,0.6657728105064422,"(0.6684558315306552, 0.6699432317402356)"
41,13,APPLAM,1000,8,4,50,0.05833172799075323,0.01075,5.0,4,4.1668,5.4584,0.6983869724732077,"(0.6804875669575333, 0.6822506026801548)"
42,14,APPLAM,1000,8,4,50,0.11340689723271372,0.018,0.5,3,3.196,1.0716,0.7111756168359942,"(0.7127369843555227, 0.7141048791274494)"
43,14,APPLAM,1000,8,4,50,0.10039966397678385,0.016166666666666666,1.0,3,3.0402,1.5446,0.7111756168359942,"(0.7096226683003026, 0.7101605013468331)"
44,14,APPLAM,1000,8,4,50,0.09351218387270352,0.02033333333333333,5.0,4,4.2996,5.658,0.6923423204560901,"(0.6545617789995247, 0.6571831995517835)"
45,15,APPLAM,1000,8,4,50,0.05256027554535017,0.01875,0.5,4,3.5078,1.0682,0.7046661205402344,"(0.5655967749524894, 0.5709688086895371)"
46,15,APPLAM,1000,8,4,50,0.055533325711672576,0.017166666666666667,1.0,3,2.6988,1.5868,0.5647467892995345,"(0.4960171245483151, 0.503495984796343)"
47,15,APPLAM,1000,8,4,50,0.05651669587107283,0.016833333333333332,5.0,3,3.2456,5.6172,0.5910598384504262,"(0.49928527644972187, 0.5067021379192486)"
48,16,APPLAM,1000,8,4,50,0.20635227419147018,0.023,0.5,2,2.3728,1.1564,0.4962025316455696,"(0.5325093266374942, 0.5379043364870527)"
49,16,APPLAM,1000,8,4,50,0.21240781207320406,0.019166666666666665,1.0,2,2.2608,1.6212,0.4962025316455696,"(0.5032287012259324, 0.5052756932220068)"
50,16,APPLAM,1000,8,4,50,0.15835799377798013,0.022833333333333334,5.0,3,3.0428,5.4372,0.7111756168359942,"(0.6257984116046197, 0.6329252395857753)"
51,17,APPLAM,1000,8,4,50,0.14905938509055172,0.01925,0.5,2,2.0926,1.157,0.4962025316455696,"(0.5087211258233534, 0.5120056545931001)"
52,17,APPLAM,1000,8,4,50,0.15771079073831368,0.021166666666666667,1.0,2,2.0548,1.7216,0.4962025316455696,"(0.5003980178660989, 0.502119258384151)"
53,17,APPLAM,1000,8,4,50,0.05917468995598078,0.023416666666666665,5.0,4,4.1658,5.6082,0.6612149907045384,"(0.6442556390468095, 0.6457962264625208)"
54,18,APPLAM,1000,8,4,50,0.12196497163195545,0.0205,0.5,5,4.546,0.9918,0.7111756168359942,"(0.7191600436393222, 0.7238665807862568)"
55,18,APPLAM,1000,8,4,50,0.127557089646834,0.0165,1.0,4,4.1122,1.575,0.632208632453777,"(0.6274479530622573, 0.6329859559676853)"
56,18,APPLAM,1000,8,4,50,0.12272965879265092,0.019166666666666665,5.0,5,5.619,5.485,0.625378131410156,"(0.6686486329715512, 0.6730545446992456)"
57,19,APPLAM,1000,8,4,50,0.09916964473407609,0.014333333333333333,0.5,3,2.9966,1.0822,0.7111756168359942,"(0.6648561991341618, 0.6711322377477152)"
58,19,APPLAM,1000,8,4,50,0.06531341759223797,0.014916666666666667,1.0,3,3.0156,1.5856,0.7111756168359942,"(0.7102398452287002, 0.7106203830629045)"
59,19,APPLAM,1000,8,4,50,0.06637538536923988,0.01925,5.0,4,4.0,5.588,0.625378131410156,"(0.6286387550103322, 0.6288564200839705)"
