,n_dataset,model,p,d,M,npc,conc_dir,mode_nclus,avg_nclus,ari_best_clus,CI_aris
25,8,Lamb,1000,4,4,50,0.5,12,17.25,0.3365308478003649,"(0.2949327335159298, 0.45252287318692147)"
26,8,Lamb,1000,4,4,50,1.0,12,17.25,0.3365308478003649,"(0.2949327335159298, 0.45252287318692147)"
27,9,Lamb,1000,4,4,50,0.1,21,21.0,0.31934085265563633,"(0.3097682540730013, 0.3184482365992562)"
28,9,Lamb,1000,4,4,50,0.5,15,18.5,0.5116259722973254,"(0.38123276089725383, 0.4751542167384452)"
29,9,Lamb,1000,4,4,50,1.0,15,18.5,0.5116259722973254,"(0.38123276089725383, 0.4751542167384452)"
30,10,Lamb,1000,4,4,50,0.1,18,18.75,0.4270205765436359,"(0.42051162097486783, 0.46601317319805413)"
31,10,Lamb,1000,4,4,50,0.5,18,18.75,0.4270205765436359,"(0.42051162097486783, 0.46601317319805413)"
32,10,Lamb,1000,4,4,50,1.0,21,21.0,0.3450654373502745,"(0.34586498065754057, 0.3518709342271876)"
33,11,Lamb,1000,4,4,50,0.1,14,19.125,0.42078490866529833,"(0.31428074485698454, 0.4213443042366005)"
34,11,Lamb,1000,4,4,50,0.5,14,19.125,0.42078490866529833,"(0.31428074485698454, 0.4213443042366005)"
35,11,Lamb,1000,4,4,50,1.0,14,19.125,0.42078490866529833,"(0.31428074485698454, 0.4213443042366005)"
36,12,Lamb,1000,4,4,50,0.1,20,21.0,0.3127076000425752,"(0.3021426690609036, 0.3267275621589957)"
37,12,Lamb,1000,4,4,50,0.5,20,21.0,0.3127076000425752,"(0.3021426690609036, 0.3267275621589957)"
38,12,Lamb,1000,4,4,50,1.0,20,21.0,0.3127076000425752,"(0.3021426690609036, 0.3267275621589957)"
39,13,Lamb,1000,4,4,50,0.1,17,19.125,0.4982711546681373,"(0.4385312852663662, 0.5004184409218476)"
40,13,Lamb,1000,4,4,50,0.5,17,19.125,0.4982711546681373,"(0.4385312852663662, 0.5004184409218476)"
41,13,Lamb,1000,4,4,50,1.0,17,19.125,0.4982711546681373,"(0.4385312852663662, 0.5004184409218476)"
42,14,Lamb,1000,4,4,50,0.1,19,21.625,0.31909576717542576,"(0.28898992048292527, 0.32985773907911853)"
43,14,Lamb,1000,4,4,50,0.5,19,21.625,0.31909576717542576,"(0.28898992048292527, 0.32985773907911853)"
44,14,Lamb,1000,4,4,50,1.0,20,22.0,0.33032299463680875,"(0.28349130380079657, 0.3214622172655188)"
45,15,Lamb,1000,4,4,50,0.1,19,20.625,0.44782592791936,"(0.34407860083858866, 0.45153590346243844)"
46,15,Lamb,1000,4,4,50,0.5,19,20.625,0.44782592791936,"(0.34407860083858866, 0.45153590346243844)"
47,15,Lamb,1000,4,4,50,1.0,19,20.625,0.44782592791936,"(0.34407860083858866, 0.45153590346243844)"
48,16,Lamb,1000,4,4,50,0.1,22,21.0,0.35082070701361046,"(0.34413947261860584, 0.40059167493399056)"
49,16,Lamb,1000,4,4,50,0.5,20,19.75,0.34097346289598673,"(0.3306344722748205, 0.3455528407192859)"
50,16,Lamb,1000,4,4,50,1.0,22,21.75,0.32642867314412155,"(0.3298244671027906, 0.35994316004436294)"
51,17,Lamb,1000,4,4,50,0.1,25,24.0,0.2507065794045015,"(0.24651157203605786, 0.2687768849129883)"
52,17,Lamb,1000,4,4,50,0.5,25,24.0,0.2507065794045015,"(0.24651157203605786, 0.2687768849129883)"
53,17,Lamb,1000,4,4,50,1.0,25,24.0,0.2507065794045015,"(0.24651157203605786, 0.2687768849129883)"
54,18,Lamb,1000,4,4,50,0.1,16,18.25,0.31654193708660683,"(0.31044918303318375, 0.3563551109590983)"
55,18,Lamb,1000,4,4,50,0.5,16,18.25,0.31654193708660683,"(0.31044918303318375, 0.3563551109590983)"
56,18,Lamb,1000,4,4,50,1.0,20,20.125,0.31885063637387273,"(0.3192170542735918, 0.32435099223816166)"
57,19,Lamb,1000,4,4,50,0.1,19,16.875,0.5063446205988342,"(0.3523035115177394, 0.47959555612638527)"
58,19,Lamb,1000,4,4,50,0.5,19,16.875,0.5063446205988342,"(0.3523035115177394, 0.47959555612638527)"
59,19,Lamb,1000,4,4,50,1.0,19,16.875,0.5063446205988342,"(0.3523035115177394, 0.47959555612638527)"
